Date,Conversions - Channel 1,Conversions - Channel 2,Conversions - Channel 3,Conversions - Channel 4,Conversions - Channel 5,Conversions - Channel 6,Conversions - Organic,Spend - Channel 1,Spend - Channel 2
4/1/2016,2,0,0,0,0,0,354,1245.9,0
4/2/2016,8,0,0,0,0,0,312,1279.72,0
4/3/2016,10,0,0,0,0,0,1298,1339.62,0
4/4/2016,10,0,0,0,0,0,1502,1462.72,0
4/5/2016,10,0,0,0,0,0,1682,1684.32,0
4/6/2016,6,0,0,0,0,0,1730,1464.326858,0
4/7/2016,12,0,0,0,0,0,1512,1354.751752,0
4/8/2016,4,0,0,0,0,0,390,1348.03315,0
4/9/2016,6,0,0,0,0,0,300,1443.535931,0
4/10/2016,6,0,0,0,0,0,1018,1449.51471,0
4/11/2016,12,0,0,0,2,0,1256,1457.734868,0
4/12/2016,2,0,0,0,0,0,1138,1455.245353,0
4/13/2016,4,0,0,0,0,0,1202,1418.510723,0
4/14/2016,8,0,0,0,0,0,668,1418.694382,0
4/15/2016,0,0,0,0,0,0,192,1361.469304,0
4/16/2016,2,0,0,0,0,0,148,1360.800426,0
4/17/2016,14,0,0,0,2,0,956,1351.12,0
4/18/2016,4,0,0,0,0,0,1248,1348.72,0
4/19/2016,12,0,0,0,0,0,1338,1347.28,0
4/20/2016,10,0,0,0,0,0,1246,1135.62,0
4/21/2016,0,0,0,0,0,0,770,1035.48,0
4/22/2016,0,0,0,0,0,0,364,1013.76,0
4/23/2016,0,0,0,0,0,0,276,1044.94,0
4/24/2016,0,0,0,2,0,0,1214,1090.728094,0
4/25/2016,0,0,0,0,0,0,1304,1088.938745,0
4/26/2016,0,0,0,0,0,0,1402,1080.434965,0
4/27/2016,0,0,0,0,2,0,1670,2163.719344,0
4/28/2016,0,0,0,0,0,0,1348,2962.78064,0
4/29/2016,0,0,0,0,0,0,380,2303.351972,0
4/30/2016,0,0,0,0,0,0,326,2011.873946,0
5/1/2016,0,0,0,0,0,0,1118,1828.624192,0
5/2/2016,0,0,0,0,4,0,1298,2203.16,0
5/3/2016,2,0,0,0,0,0,1446,2590.84,0
5/4/2016,0,0,0,0,0,0,1568,2672.354842,0
5/5/2016,2,0,0,0,0,0,1352,2722.561224,0
5/6/2016,0,0,0,0,0,2,326,1431.815559,0
5/7/2016,0,0,0,0,2,0,226,1185.813294,0
5/8/2016,0,0,0,0,0,0,1006,1161.557408,0
5/9/2016,0,0,0,0,0,0,1124,863.7803582,0
5/10/2016,0,0,0,0,0,0,1318,799.0207966,0
5/11/2016,0,0,0,0,0,0,1264,724.517643,0
5/12/2016,0,0,0,0,0,2,1108,628.5411444,0
5/13/2016,0,0,0,0,0,0,290,615.9037658,0
5/14/2016,0,0,0,0,0,0,214,679.6473602,0
5/15/2016,0,0,0,0,0,0,974,628.1190492,0
5/16/2016,0,0,0,0,2,0,1158,619.6928514,0
5/17/2016,0,0,0,0,2,0,1288,635.277218,0
5/18/2016,0,0,0,0,0,0,1050,715.5606836,0
5/19/2016,0,0,0,0,0,0,1062,289.4349446,0
5/20/2016,0,0,0,0,0,0,270,109.7675555,0
5/21/2016,0,0,0,0,0,0,214,97.4343054,0
5/22/2016,0,0,0,0,0,0,880,83.2035307,0
5/23/2016,0,0,0,0,0,0,1030,104.856582,0
5/24/2016,0,0,0,0,2,0,1100,97.16382158,0
5/25/2016,0,0,0,0,0,0,1000,20.6342532,0
5/26/2016,0,0,0,0,0,0,750,37.53664408,0
5/27/2016,0,0,0,0,0,0,242,42.3453728,0
5/28/2016,0,0,0,0,0,0,162,37.80222048,0
5/29/2016,0,0,0,0,0,0,164,42.83425078,0
5/30/2016,0,0,0,0,0,0,746,44.7840594,0
5/31/2016,0,0,0,0,0,0,702,50.50598692,0
6/1/2016,0,0,0,0,0,0,550,111.0725436,0
6/2/2016,0,0,0,0,0,0,456,106.7978017,0
6/3/2016,0,0,0,0,0,0,176,111.1906467,0
6/4/2016,0,0,0,0,0,0,118,110.6152157,0
6/5/2016,0,0,0,0,0,0,582,107.0156272,0
6/6/2016,0,0,0,0,0,0,660,110.6959548,0
6/7/2016,0,0,0,0,0,0,440,126.5681815,0
6/8/2016,0,0,0,0,0,0,304,41.93771676,0
6/9/2016,0,0,0,2,0,0,220,33.6775207,0
6/10/2016,0,0,0,0,0,0,92,37.41857684,0
6/11/2016,0,0,0,0,0,0,84,35.69933616,0
6/12/2016,0,0,0,0,0,0,220,39.37328686,0
6/13/2016,0,0,0,0,0,0,222,31.09776198,0
6/14/2016,0,0,0,0,0,0,212,66.08709614,0
6/15/2016,0,0,0,0,0,0,188,83.17656998,0
6/16/2016,0,0,0,0,0,0,146,92.1150946,0
6/17/2016,0,0,0,0,0,0,64,96.54247072,0
6/18/2016,0,0,0,0,0,0,44,96.97652276,0
6/19/2016,0,0,0,0,0,0,148,94.21340254,0
6/20/2016,0,0,0,0,0,0,172,82.28683468,0
6/21/2016,0,0,0,0,0,0,134,4.79954935,0
6/22/2016,0,0,0,0,0,0,134,71.19186182,0
6/23/2016,0,0,0,0,0,0,94,83.19070432,0
6/24/2016,0,0,0,0,0,0,44,90.5706321,0
6/25/2016,0,0,0,0,0,0,64,85.58560618,0
6/26/2016,0,0,0,0,0,0,106,78.33899198,0
6/27/2016,0,0,0,0,0,0,122,101.0812617,0
6/28/2016,0,0,0,0,0,0,86,111.1943674,0
6/29/2016,0,0,0,0,2,0,122,43.16,0
6/30/2016,0,0,0,0,0,0,52,47.04545286,0
7/1/2016,0,0,0,0,0,0,46,40.94,0
7/2/2016,0,0,0,0,0,0,32,39.02673012,0
7/3/2016,0,0,0,0,0,0,72,37.566443,0
7/4/2016,0,0,0,0,0,0,32,1.58,0
7/5/2016,0,0,0,0,0,0,92,23.89719734,0
7/6/2016,0,0,0,0,0,0,166,87.53463352,0
7/7/2016,0,0,0,0,0,0,60,86.3,0
7/8/2016,0,0,0,0,0,0,30,99.40734676,0
7/9/2016,0,0,0,0,0,0,36,105.6077769,0
7/10/2016,2,0,0,0,0,0,82,118.36,0
7/11/2016,0,0,0,0,0,0,150,105.955845,0
7/12/2016,0,0,0,0,2,0,150,67.82,0
7/13/2016,0,0,0,0,0,0,124,79.5,0
7/14/2016,0,0,0,0,0,0,96,80.24,0
7/15/2016,0,0,0,0,0,0,34,77.32,0
7/16/2016,0,0,0,0,0,0,44,61.22,0
7/17/2016,0,0,0,0,0,0,92,62.58,0
7/18/2016,0,0,0,0,0,0,110,67.98800494,0
7/19/2016,0,0,0,0,2,2,102,62.9,0
7/20/2016,0,0,0,0,0,0,124,64.44,0
7/21/2016,0,0,0,0,0,0,86,55.24,0
7/22/2016,0,0,0,0,0,0,26,41.4785656,0
7/23/2016,0,0,0,0,0,0,36,64.46,0
7/24/2016,0,0,0,0,0,0,122,55.94,0
7/25/2016,0,0,0,0,0,0,134,60.11549472,0
7/26/2016,0,0,0,0,0,0,184,56.58,0
7/27/2016,0,0,0,0,0,0,180,0.08,0
7/28/2016,0,0,0,0,0,0,114,71.16,0
7/29/2016,0,0,0,0,2,0,70,101.74,0
7/30/2016,0,0,0,0,0,0,52,91.24,0
7/31/2016,0,0,0,0,0,0,138,96.3,0
8/1/2016,0,0,0,0,4,0,170,96.04,0
8/2/2016,0,0,0,0,0,0,210,104.4154401,0
8/3/2016,2,0,0,0,0,0,266,160.4529638,0
8/4/2016,2,0,0,0,0,0,312,66.97648436,0
8/5/2016,0,0,0,0,0,0,98,65.86,0
8/6/2016,0,0,0,2,0,0,134,71.83610158,0
8/7/2016,0,0,0,2,0,2,406,66.4680026,0
8/8/2016,2,0,0,0,0,0,538,62.95286814,0
8/9/2016,0,0,0,0,0,0,750,91.35125392,0
8/10/2016,0,0,0,0,2,0,408,92.87026168,0
8/11/2016,0,0,0,0,0,0,32,115.3503232,0
8/12/2016,0,0,0,0,0,0,12,116.0084312,0
8/13/2016,0,0,0,0,0,0,12,93.66846622,0
8/14/2016,0,0,0,0,0,0,148,121.5341959,0
8/15/2016,0,0,0,0,2,2,1314,138.1399136,0
8/16/2016,0,0,0,2,4,0,1332,156.3105631,0
8/17/2016,2,0,0,0,0,0,1394,155.8222857,0
8/18/2016,0,0,0,0,12,0,1346,62.4528472,0
8/19/2016,2,0,0,0,4,0,334,73.48,0
8/20/2016,2,0,0,0,2,0,410,39.03427104,0
8/21/2016,0,0,0,0,2,0,1362,50.85265666,0
8/22/2016,0,0,0,0,2,0,1516,52.96106358,0
8/23/2016,0,0,0,0,4,2,1790,66.63468538,0
8/24/2016,2,0,0,0,4,0,1956,78.05614852,0
8/25/2016,0,0,0,0,4,0,1984,82.4777441,0
8/26/2016,0,0,0,2,4,0,488,94.0826937,0
8/27/2016,4,0,0,0,2,0,658,74.54748454,0
8/28/2016,0,0,0,0,2,0,1686,0,0
8/29/2016,2,0,0,2,4,0,1852,0,0
8/30/2016,0,0,0,0,2,0,2104,0,0
8/31/2016,0,0,0,0,4,0,2256,31.0535833,0
9/1/2016,0,0,2,0,8,0,2098,43.75763638,0
9/2/2016,0,0,0,0,4,0,498,47.67731712,0
9/3/2016,0,0,0,0,2,0,380,35.68,0
